Year,ppastMonth,pastMonth,currMonth,ONI
1950,12,1,2,-1.5
1950,1,2,3,-1.3
1950,2,3,4,-1.2
1950,3,4,5,-1.2
1950,4,5,6,-1.1
1950,5,6,7,-0.9
1950,6,7,8,-0.5
1950,7,8,9,-0.4
1950,8,9,10,-0.4
1950,9,10,11,-0.4
1950,10,11,12,-0.6
1950,11,12,1,-0.8
1951,12,1,2,-0.8
1951,1,2,3,-0.5
1951,2,3,4,-0.2
1951,3,4,5,0.2
1951,4,5,6,0.4
1951,5,6,7,0.6
1951,6,7,8,0.7
1951,7,8,9,0.9
1951,8,9,10,1.0
1951,9,10,11,1.2
1951,10,11,12,1.0
1951,11,12,1,0.8
1952,12,1,2,0.5
1952,1,2,3,0.4
1952,2,3,4,0.3
1952,3,4,5,0.3
1952,4,5,6,0.2
1952,5,6,7,0.0
1952,6,7,8,-0.1
1952,7,8,9,0.0
1952,8,9,10,0.2
1952,9,10,11,0.1
1952,10,11,12,0.0
1952,11,12,1,0.1
1953,12,1,2,0.4
1953,1,2,3,0.6
1953,2,3,4,0.6
1953,3,4,5,0.7
1953,4,5,6,0.8
1953,5,6,7,0.8
1953,6,7,8,0.7
1953,7,8,9,0.7
1953,8,9,10,0.8
1953,9,10,11,0.8
1953,10,11,12,0.8
1953,11,12,1,0.8
1954,12,1,2,0.8
1954,1,2,3,0.5
1954,2,3,4,0.0
1954,3,4,5,-0.4
1954,4,5,6,-0.5
1954,5,6,7,-0.5
1954,6,7,8,-0.6
1954,7,8,9,-0.8
1954,8,9,10,-0.9
1954,9,10,11,-0.8
1954,10,11,12,-0.7
1954,11,12,1,-0.7
1955,12,1,2,-0.7
1955,1,2,3,-0.6
1955,2,3,4,-0.7
1955,3,4,5,-0.8
1955,4,5,6,-0.8
1955,5,6,7,-0.7
1955,6,7,8,-0.7
1955,7,8,9,-0.7
1955,8,9,10,-1.1
1955,9,10,11,-1.4
1955,10,11,12,-1.7
1955,11,12,1,-1.5
1956,12,1,2,-1.1
1956,1,2,3,-0.8
1956,2,3,4,-0.6
1956,3,4,5,-0.5
1956,4,5,6,-0.5
1956,5,6,7,-0.5
1956,6,7,8,-0.6
1956,7,8,9,-0.6
1956,8,9,10,-0.5
1956,9,10,11,-0.4
1956,10,11,12,-0.4
1956,11,12,1,-0.4
1957,12,1,2,-0.2
1957,1,2,3,0.1
1957,2,3,4,0.4
1957,3,4,5,0.7
1957,4,5,6,0.9
1957,5,6,7,1.1
1957,6,7,8,1.3
1957,7,8,9,1.3
1957,8,9,10,1.3
1957,9,10,11,1.4
1957,10,11,12,1.5
1957,11,12,1,1.7
1958,12,1,2,1.8
1958,1,2,3,1.7
1958,2,3,4,1.3
1958,3,4,5,0.9
1958,4,5,6,0.7
1958,5,6,7,0.6
1958,6,7,8,0.6
1958,7,8,9,0.4
1958,8,9,10,0.4
1958,9,10,11,0.4
1958,10,11,12,0.5
1958,11,12,1,0.6
1959,12,1,2,0.6
1959,1,2,3,0.6
1959,2,3,4,0.5
1959,3,4,5,0.3
1959,4,5,6,0.2
1959,5,6,7,-0.1
1959,6,7,8,-0.2
1959,7,8,9,-0.3
1959,8,9,10,-0.1
1959,9,10,11,0.0
1959,10,11,12,0.0
1959,11,12,1,0.0
1960,12,1,2,-0.1
1960,1,2,3,-0.1
1960,2,3,4,-0.1
1960,3,4,5,0.0
1960,4,5,6,0.0
1960,5,6,7,0.0
1960,6,7,8,0.1
1960,7,8,9,0.2
1960,8,9,10,0.3
1960,9,10,11,0.2
1960,10,11,12,0.1
1960,11,12,1,0.1
1961,12,1,2,0.0
1961,1,2,3,0.0
1961,2,3,4,0.0
1961,3,4,5,0.1
1961,4,5,6,0.2
1961,5,6,7,0.3
1961,6,7,8,0.1
1961,7,8,9,-0.1
1961,8,9,10,-0.3
1961,9,10,11,-0.3
1961,10,11,12,-0.2
1961,11,12,1,-0.2
1962,12,1,2,-0.2
1962,1,2,3,-0.2
1962,2,3,4,-0.2
1962,3,4,5,-0.3
1962,4,5,6,-0.3
1962,5,6,7,-0.2
1962,6,7,8,0.0
1962,7,8,9,-0.1
1962,8,9,10,-0.1
1962,9,10,11,-0.2
1962,10,11,12,-0.3
1962,11,12,1,-0.4
1963,12,1,2,-0.4
1963,1,2,3,-0.2
1963,2,3,4,0.2
1963,3,4,5,0.3
1963,4,5,6,0.3
1963,5,6,7,0.5
1963,6,7,8,0.9
1963,7,8,9,1.1
1963,8,9,10,1.2
1963,9,10,11,1.3
1963,10,11,12,1.4
1963,11,12,1,1.3
1964,12,1,2,1.1
1964,1,2,3,0.6
1964,2,3,4,0.1
1964,3,4,5,-0.3
1964,4,5,6,-0.6
1964,5,6,7,-0.6
1964,6,7,8,-0.6
1964,7,8,9,-0.7
1964,8,9,10,-0.8
1964,9,10,11,-0.8
1964,10,11,12,-0.8
1964,11,12,1,-0.8
1965,12,1,2,-0.6
1965,1,2,3,-0.3
1965,2,3,4,-0.1
1965,3,4,5,0.2
1965,4,5,6,0.5
1965,5,6,7,0.8
1965,6,7,8,1.2
1965,7,8,9,1.5
1965,8,9,10,1.9
1965,9,10,11,2.0
1965,10,11,12,2.0
1965,11,12,1,1.7
1966,12,1,2,1.4
1966,1,2,3,1.2
1966,2,3,4,1.0
1966,3,4,5,0.7
1966,4,5,6,0.4
1966,5,6,7,0.2
1966,6,7,8,0.2
1966,7,8,9,0.1
1966,8,9,10,-0.1
1966,9,10,11,-0.1
1966,10,11,12,-0.2
1966,11,12,1,-0.3
1967,12,1,2,-0.4
1967,1,2,3,-0.5
1967,2,3,4,-0.5
1967,3,4,5,-0.4
1967,4,5,6,-0.2
1967,5,6,7,0.0
1967,6,7,8,0.0
1967,7,8,9,-0.2
1967,8,9,10,-0.3
1967,9,10,11,-0.4
1967,10,11,12,-0.3
1967,11,12,1,-0.4
1968,12,1,2,-0.6
1968,1,2,3,-0.7
1968,2,3,4,-0.6
1968,3,4,5,-0.4
1968,4,5,6,0.0
1968,5,6,7,0.3
1968,6,7,8,0.6
1968,7,8,9,0.5
1968,8,9,10,0.4
1968,9,10,11,0.5
1968,10,11,12,0.7
1968,11,12,1,1.0
1969,12,1,2,1.1
1969,1,2,3,1.1
1969,2,3,4,0.9
1969,3,4,5,0.8
1969,4,5,6,0.6
1969,5,6,7,0.4
1969,6,7,8,0.4
1969,7,8,9,0.5
